,url
377,https://www.coursera.org/specializations/thinklikeacfo
378,https://www.coursera.org/specializations/trading-strategy
379,https://www.coursera.org/specializations/transforming-fashion-business
380,https://www.coursera.org/specializations/united-states-federal-taxation
381,https://www.coursera.org/specializations/ui-ux-design
382,https://www.coursera.org/specializations/uncommon-sense-teaching-certificate
383,https://www.coursera.org/specializations/michiganux
384,https://www.coursera.org/specializations/user-interface-design
385,https://www.coursera.org/specializations/value-chain-management
386,https://www.coursera.org/specializations/value-based-care
387,https://www.coursera.org/specializations/web-applications
388,https://www.coursera.org/specializations/web-design
389,https://www.coursera.org/specializations/designing-effective-science-communication
390,https://www.coursera.org/specializations/mastering-cloud-security-optimization-migration-aws
391,https://www.coursera.org/specializations/analytics-for-decision-making
392,https://www.coursera.org/specializations/digital-technology-in-manufacturing
393,https://www.coursera.org/specializations/codio-devops
394,https://www.coursera.org/specializations/iot-systems-and-industrial-applications-with-design-thinking
395,https://www.coursera.org/specializations/holistic-mobile-app-design-and-development-cross-platform-excellence
396,https://www.coursera.org/specializations/privacy
397,https://www.coursera.org/specializations/privacy-fundamentals-infosec
398,https://www.coursera.org/specializations/mastering-product-management-interviews
399,https://www.coursera.org/specializations/natural-disaster-and-climate-change-risk-assessment
400,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
401,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support
402,https://www.coursera.org/professional-certificates/arizona-state-university-tesol
403,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
404,https://www.coursera.org/professional-certificates/cvshealth-retail-customer-service
405,https://www.coursera.org/professional-certificates/tensorflow-in-practice
406,https://www.coursera.org/professional-certificates/meta-front-end-developer-es
407,https://www.coursera.org/professional-certificates/fractal-data-science
408,https://www.coursera.org/professional-certificates/goodwill-career-coach-and-navigator
409,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
410,https://www.coursera.org/professional-certificates/google-business-intelligence
411,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training
412,https://www.coursera.org/professional-certificates/google-cybersecurity
413,https://www.coursera.org/professional-certificates/google-data-analytics
414,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
415,https://www.coursera.org/professional-certificates/google-it-automation
416,https://www.coursera.org/professional-certificates/google-it-support
417,https://www.coursera.org/professional-certificates/google-project-management
418,https://www.coursera.org/professional-certificates/google-ux-design
419,https://www.coursera.org/professional-certificates/hrci-human-resource-associate
420,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
421,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering
422,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
423,https://www.coursera.org/professional-certificates/data-warehouse-engineering
424,https://www.coursera.org/professional-certificates/ibm-it-scrum-master
425,https://www.coursera.org/professional-certificates/ibm-technical-support
426,https://www.coursera.org/professional-certificates/ibm-machine-learning
427,https://www.coursera.org/professional-certificates/ibm-mainframe-developer
428,https://www.coursera.org/professional-certificates/ibm-project-manager
429,https://www.coursera.org/professional-certificates/ibm-z-mainframe
430,https://www.coursera.org/professional-certificates/intuit-bookkeeping
431,https://www.coursera.org/professional-certificates/meta-ar-developer
432,https://www.coursera.org/professional-certificates/meta-back-end-developer
433,https://www.coursera.org/professional-certificates/meta-database-engineer
434,https://www.coursera.org/professional-certificates/meta-front-end-developer
435,https://www.coursera.org/professional-certificates/facebook-marketing-analytics
436,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
437,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
438,https://www.coursera.org/professional-certificates/azure-data-scientist
